Game,Performance,Drive,Emulator,Update,Notes,Device
Neon White,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Looks and runs amazing, perfect 60fps handheld and 35-40 docked",Pocket 5
Nerd Survivors,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.20240625,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Neuro Voider,Perfect,Turnip 24.3.0 9v2,Citron,1.0.5,Perfect 60 FPS Docked,Pocket 5
Neva,Perfect,Qualcomm 0.746.0,Citron,1.2.0,"60 FPS Docked during gameplay, some very minor dips in between some cutscenes",Pocket 5
New Pokémon Snap,Great,Turnip 24.3.0 9v2,Citron,Latest,"disk shader cache = true, force maximum clocks = true Game works nearly perfect! Professor registers photos you take, little to no frame drops, overall really responsive. Only problem I’ve seen is that any pictures you take, beyond the initial run down with the professor, will just appear as blank black images.",Pocket 5
New Pokémon Snap,Great,Qualcomm 0.746.0,Suyu,1.0,Handheld mode,Pocket 5
New Super Lucky’s Tale,Perfect,Qualcomm 0.746.0,Yuzu,1.5.9,Perfect 30fps docked,Pocket 5
New Super Mario Bros. U Deluxe,Perfect,Qualcomm 0.746.0,Suyu,1.0,"Firmware 17.0.1 runs perfect in yuzu, couldnt get it running in any other emu",Pocket 5
Nexomon,Perfect,Qualcomm 0.746.0,Yuzu,1.02,"Perfect 60fps docked, looks great",Pocket 5
Ni No Kuni Wrath Of The White Witch,Great,Turnip 24.3.0 R3,Sudachi,v1.0.11,You will need firmware 17.0.1 other firmwares will make the title screen bootloop but with firmware 17.0.1 you will go past that screen. Frames betwen 23-30 played until Ding Dong Dell so don’t know if completable,Pocket 5
Nickelodeon All-Star Brawl 2,Great,Qualcomm 0.746.0,Yuzu,1.0,Works well handheld mode almost perfect 30fps just takes awhile to load in game,Pocket 5
Nickelodeon Kart Racers,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Night In The Woods,Perfect,Qualcomm 0.746.0,Yuzu,1.0.2,Played for around 30 minutes without any issues,Pocket 5
Night Slashers Remake,Perfect,Qualcomm 0.746.0,Sudachi,1.0,Turnips unplayable,Pocket 5
Nights Of Azure 2,Playable,Turnip 24.3.0 9v2,Citron,1.0,Thought I’d give it a shot but when it came to combat the frame drops a bit too much. It’s for sure playable but I wouldn’t suggest it in this state.,Pocket 5
Nine Sols,Perfect,Qualcomm 0.746.0,Sudachi,1.1,,Pocket 5
Ninja Gaiden Sigma,Perfect,Turnip 24.1.0 R18,Citron,1.0.4,works perfect now with sound unlike older switch emulators. the game has washed out blacks go into grapics menu in game and turn gamma down to 0.5,Pocket 5
Ninja Gaiden Sigma,Playable,Turnip 24.3.0 9v2,Sudachi,1.0.2,Plays perfectly but no sound in game even after changing emulator audio settings,Pocket 5
Ninja Slayer: Neo-Saitama In Flames,Playable,Turnip 24.3.0 9v2,Citron,1.0,Runs 60 FPS with no enemies on screen Killing or attacking enemies causes the fps to drop. Many FPS dips makes it annoying to play,Pocket 5
Nintendo World Championship,Perfect,Qualcomm 0.746.0,Citron,1.0,Plays perfectly when I set graphics to 0.75,Pocket 5
No More Heroes,Poor,Turnip 24.3.0 9v2,Sudachi,1.2.0,Graphical glitches making it unplayable,Pocket 5
No More Heroes 2: Desperate Struggle,Poor,Turnip 24.3.0 9v2,Sudachi,1.2.0,Graphical glitches making text unreadable in game,Pocket 5
No More Heroes 3,Playable,Turnip 24.3.0 9v2,Sudachi,1.1.1,Playable with low fps and some graphical glitches and lag,Pocket 5
Nuclear Blaze,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Octodad: Dadliest Catch,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Black screen on yuzu and sudachi with both drivers,Pocket 5
Octopath Traveler,Perfect,Mr. Purple T18,Citron,v1.0.1,"Docked, 1x Res, Disk Shader Cache:ON, Force Max Clocks:OFF, Async Shaders:ON All other settings default. Game is locked at 30FPS at all times, no stuttering, crashing, or glitches. Current save file time is at 13 hours.",Pocket 5
Octopath Traveler,Great,Turnip 24.3.0 9v2,Citron,1.0.1,"Citron 0.4. Handheld Mode, Disabled Shader Cache, Disabled Asynchronous Shader Compilation. RP5 Performance and Smart Fan. Pretty smooth and stable",Pocket 5
Octopath Traveler,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,(works surprisingly well when docked but dips down to ~15fps),Pocket 5
Octopath Traveler,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Octopath Traveler,Perfect,Turnip 25.2.0 R4,Citron,1.0.4,x0.75,Pocket 5
Octopath Traveler II,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Some graphical glitching in different lighting.,Pocket 5
Octopath Traveler II,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,"(same as OT1, both hold closer to 30fps docked)",Pocket 5
Octopath Traveler II,Perfect,Turnip 24.3.0 9v2,Sudachi,1.1.1,"Graphics Accuracy Level: High; Use async shaders; Use reactive flushing; Handheld Mode// Performance Mode: Performance; Fan: Smart; No more lighting glitches!! Smooth 30FPS, Minor dips to high 20s.",Pocket 5
Octopath Traveler II,Great,Turnip 24.3.0 9v2,Sudachi,1.1.1,"Graphics -> Accuracy Level: High; Performance: High; Fan: Smart. This solves the lighting glitches. Battles at 30FPS, Overworld mostly 30fps, Drops in some areas to mid 20s. ery playable.",Pocket 5
Octopath Traveler II,Great,Turnip 24.3.0 9v2,Sudachi,1.02,Runs well at 30 fps with occasional dips. Only problem is the occasional random crash during combat which is quite annoying.,Pocket 5
Oddworld: New ‘n’ Tasty!,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Okami HD,Great,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 30fps handheld, some isual glitching",Pocket 5
Okinawa Rush,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Old School Musical,Perfect,Qualcomm 0.746.0,Citron,1.3 + DLC,,Pocket 5
Olliolli World,Perfect,Qualcomm 0.746.0,Yuzu,1.2.0,"Perfect 60dps docked, great game",Pocket 5
Omega Labyrinth Life,Perfect,Turnip 25.2.0 R2,Eden,1.0,Drops frames in the overworld but nothing major,Pocket 5
Omori,Perfect,Qualcomm 0.746.0,Eden,1.0,,Pocket 5
One Piece Pirate Warriors 3,Great,Qualcomm 0.746.0,Yuzu,1.0,"About 45fps handheld mode, good experience",Pocket 5
One Piece Unlimited World Red Deluxe Edition,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Perfect 60fps docked, looks great",Pocket 5
One Step From Eden,Perfect,Turnip 24.3.0 9v2,Sudachi,1.5.6,,Pocket 5
Onimusha: Warlords,Perfect,Turnip 24.3.0 9v2,Citron,1.0,Plays flawlessly docked at 60fps,Pocket 5
Ori And The Blind Forest,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Citron is back in development! 60 FPS Settings: Docked 1x Res. Force Maximum Clocks and Use Asynchronous Shaders On Everything Else Default.,Pocket 5
Ori And The Blind Forest,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.2,"Perfect 60 docked, looks incredible on the OLED",Pocket 5
Ori And The Blind Forest,Great,Qualcomm 0.746.0,Yuzu,Update 1.0.2,,Pocket 5
Ori And The Blind Forest (Definitive Edition),Great,Turnip 24.1.0 R18,Citron,1.0.2,"This game does NOT run perfectly on RP5, despite what other entries in this sheet say. I tried a huge combination of emulators, drivers, settings etc. The best overall performance I got was docked mode 1x, Citron 0.4, Turnip 24.1.0 R18, force maximum clocks, asynchronous shaders, everything else default. The game would often hit 60fps, but it was not stable. It would often dip down to 30-50fps, and even when frame rate was 50+ there was frequent (albeit minor) stuttering. It’s absolutely playable and ery enjoyable but it is NOT 60fps locked.",Pocket 5
Ori And The Will Of The Wisps,Playable,Turnip 24.3.0 9v2,Citron,1.2.0,Only successfully boots 1/4 of the time. FPS ranges from 10-35. Some minor graphical issues.,Pocket 5
Otherwar,Perfect,Qualcomm 0.746.0,Citron,1.0,Perfect 60 FPS Docked,Pocket 5
Otxo,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,60fps docked,Pocket 5
Our Summer Festivals 2,Perfect,Qualcomm v615. 77,Sudachi,1.0.15,Set Accuracy Level to High. No need to change other settings. I played two times with these settings and it went perfectly well.,Pocket 5
Our Summer Festivals 2,Perfect,Qualcomm v615. 77,Sudachi,1.0.15,"Uses both firmware and prodkeys 19.0.1. Set Accuracy Level High. Disable shader cache. Dont change anything else, this is the complete setting. Make sure play High Performance on your retroid pocket flip 2.",Pocket 5
Outer Wilds,Perfect,Turnip 24.3.0 9v2,Citron,1.1.15.1027,.75 | Force maximum clocks | Use asynchronous shaders. Once shaders complie it runs at full speed,Pocket 5
Overcooked 2 + All Dlc,Perfect,Turnip 25.0.0 R5,Yuzu,1.0,30 FPS LOCKED,Pocket 5
Owlboy,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.5,,Pocket 5
Paint The Town Red,Perfect,Qualcomm 0.746.0,Sudachi,1.0.2,,Pocket 5
Panzer Paladin,Perfect,Qualcomm 0.746.0,Yuzu,1.2.2,Play perfect,Pocket 5
Paper Mario: The Origami King,Poor,Qualcomm 0.746.0,Sudachi,1.01,"Tried with yuzu, sudachi, and Skyline. All crash at the beginning sequence, if you use a save to skip that it crashes if you go into the loading zones. what a shame",Pocket 5
Paper Mario: The Thousand-Year Door,Poor,Turnip 24.3.0 9v2,Sudachi,1.0,froze after into battle,Pocket 5
Paper Mario: The Thousand-Year Door,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,,Pocket 5
Papwr Mario The Thousand Year Door,Great,Qualcomm adreno 819.1,Citron,1.0,Tried multiple drivers. Most crashed Citron. The qualcomm adreno 819.1 with high performance turned on and fan set to auto works. Undocked mode,Pocket 5
Party Hard,Poor,Qualcomm 0.746.0,Kenji-nx,1.0,Crashes at boot.,Pocket 5
Party Hard,Perfect,Turnip 24.3.0 9v2,Yuzu,v1.0.1,Yuzu 278 (dc529a89a) All default parameters,Pocket 5
Passpartout,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Passpartout 2,Playable,Turnip 24.3.0 9v2,Yuzu,1.1.1,,Pocket 5
Pato Box,Perfect,Qualcomm 0.746.0,Yuzu,1.0.3,Perfect 60fps docked,Pocket 5
Patrick’s Parabox,Perfect,Turnip 24.3.0 9v2,Citron,1.0.1,Perfect 60 FPS Docked,Pocket 5
Pentiment,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Pepper Grinder,Perfect,Turnip 24.3.0 9v2,Citron,1.0.4,,Pocket 5
Persona 3 Portable,Perfect,Turnip 24.1.0 R18,Citron,1.0,Citron 0.4 Sounds set to Cubeb Res 1x native,Pocket 5
Persona 4 Arena Ultimax,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,Perfect 60fps docked looks and plays great,Pocket 5
Persona 4 Golden,Perfect,Turnip 24.3.0 9v2,Citron,1.0,"Great 60 fps. Occasionally crashes, but I find these settings most stable.",Pocket 5
Persona 4 Golden,Perfect,Qualcomm 0.746.0,Sudachi,1.0,"Perfect 60fps docked, don’t play in yuzu it has audio issues there",Pocket 5
Persona 4 Golden,Perfect,Qualcomm 0.746.0,Yuzu,1.0,"Runs flawlessly at 1x (710p) handled mode, 60FPS on performance mode. Audio set to cubeb",Pocket 5
Persona 5 Royal,Perfect,Turnip Driver 24.1.0 r18 fix for a6xx,Yuzu,1.0,Docked Mode. Accuray level high.Resolution 0.75 Vsync mode FIFO (On) Use asynchronous shaders on disk shader cache on audiocubeb Api vulkan CPU backend dynarmic (slow) CPU accuracy auto high performance fan on sport 13:25 minutes beat castle 5/9 also clear shader cache if you have issues 30 fps,Pocket 5
Persona 5 Royal,Great,Turnip 9v2,Sudachi,1.0.2,Accuracy: High,Pocket 5
Persona 5 Royal,Perfect,Qualcomm 777,Yuzu,1.0,,Pocket 5
Persona 5 Royal,Great,Turnip 24.3.0 9v2,Yuzu,1.0.2,Crashes seem to be fixed by setting graphics accuracy to “high”. Runs at 30fps with minor slowdowns in some areas.,Pocket 5
Persona 5 Royal,Great,Turnip 24.3.0 9v2,Yuzu,1.0.2,"Runs ery smooth, experienced one crash in first 40min of game play.",Pocket 5
Persona 5 Royal,Perfect,Turnip 25.2.0 R2,Citron,1.0,,Pocket 5
Persona 5 Royal,Great,Mr.Purple T19,Eden,1.0,"Works well with 60fps mod, however some crashes may happen. Change accuracy level to High if crashes happen",Pocket 5
Persona 5 Strikers,Poor,Turnip 24.3.0 9v2,Yuzu,1.0,Boots and gets past menus but crashes as soon as gameplay starts,Pocket 5
Persona 5 Tactica,Poor,Qualcomm 0.746.0,Yuzu,1.0,"Black screen in yuzu and sudachi with qualcomm, Turnip 9v2, and Turnip 25",Pocket 5
Pga Tour 2k21,Poor,Qualcomm 0.746.0,Sudachi,1.9.0,"Tested at 0.75x resolution and in high performance mode. The game experiences a sudden drop in frame rate after the first screen, then closes.",Pocket 5
Phoenix Wright: Ace Attorney Trilogy,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.2,Plays perfectly at 60fps,Pocket 5
Phoenotopia Awakening,Perfect,Turnip 24.3.0 9v2,Citron,1.3.3,Runs at a perfect 60fps in docked mode,Pocket 5
Pikmin 1,Playable,Turnip 24.3.0 9v2,Sudachi,1.0,Game plays great with Turnips. Only reason it’s not rated higher is that the audio is bad,Pocket 5
Pikmin 2,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"Pikmin 2 runs perfect in it’s first hour of gameplay, no audio issues like the first game",Pocket 5
Pikmin 3 Deluxe,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"runs smoothly with no graphical problems or crashes, highly reccomend!! :3",Pocket 5
Pikmin 3 Deluxe,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"Perfect up until the Armored Mawdad, I haven’t tested afterwards.",Pocket 5
Pikmin 4,Great,Turnip 24.0.0,Citron,1.0,9v2 doesnt work after the intro part. use this driver.,Pocket 5
Pikmin 4,Great,Turnip 24.3.0 9v2,Sudachi,1.0,30fps,Pocket 5
Pikuniku,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Plays perfectly,Pocket 5
Pixel Cup Soccer Ultimate Edition,Perfect,Turnip 24.3.0 9v2,Suyu,1.0,Perfect 60fps docked,Pocket 5
Pixel Retro Drift,Playable,Turnip 24.3.0 9v2,Suyu,1.0,"60fps, however crashes randomly",Pocket 5
Pizza Tower,Perfect,Qualcomm 0.746.0,Yuzu,1.0.1,runs good at default settings,Pocket 5
Pizza Tower,Perfect,Qualcomm 0.746.0,Yuzu,1.0,Perfect 60fps docked,Pocket 5
Planescape Tournament And Icewind Dale,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0,Ensure update is disabled. Crashes unless played on 1.0,Pocket 5
Plateup!,Perfect,Qualcomm 0.746.0,Yuzu,7.1.29,"Sometimes the game shows 0.0 fps and freezes on a black loading screen. If this happens, swipe up on the game screen as if you were going to close the process, but don’t close it. Then go back to the game.",Pocket 5
Poison Control,Playable,Turnip 24.3.0 9v2,Suyu,1.0,I have it set to Nearest Neighbor for the adapting filter and that seems to work great. It goes between 50s and 40s for FPS but it ery playable.,Pocket 5
Pokemon,Perfect,Qualcomm 0.746.0,Sudachi,1.0,,Pocket 5
Pokemon Arceus,Perfect,Turnip 23.3.0-devel,Yuzu,1.0,"I’m running firmware 19.0.1 and prod.key 19.0.0 and getting consistent 30fps in handheld mode at 1x. No freezing, etc. like I was getting on other drivers.",Pocket 5
Pokemon Brilliant Diamond,Perfect,Turnip 24.3.0 9v2,Sudachi,1.3.0,"With Luminiscent Platinum 2.1, use accuracy level high and handheld mode or it will freeze/crash",Pocket 5
Pokemon Brilliant Diamond,Great,Turnip 24.3.0 9v2,Sudachi,1.3.0,Added the Luminescent Platinum mod as well. Runs at 30FPS. May hang but if you minimize the game and open again it fixes itself,Pocket 5
Pokemon Legends: Arceus,Great,Turnip 24.1.0 R18,Sudachi,1.0,Performance mode with fan set to auto to keep temps at 52-55 Celsius. Default settings in Sudachi,Pocket 5
Pokemon Legends: Arceus,Great,Turnip 24.3.0 9v2,Citron,1.0,"Max clocks on, async on,",Pocket 5
Pokemon Legends: Arceus,Great,Turnip 23.2.0,Sudachi,1.1.1,"Slow in some places, glitchy polygons in places, but plays pretty smoothly",Pocket 5
Pokemon Legends: Arceus,Perfect,Turnip 24.3.0 9v2,Citron,1.1.1,TV Mode 1x resolution with texture pack,Pocket 5
Pokemon Legends: Arceus,Great,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Pokemon Mystery Dungeon DX,Perfect,Turnip 24.3.0 9v2,Yuzu,1.0.2,Using Uzuy emulator,Pocket 5
Pokemon Scarlet,Playable,Turnip 24.3.0 9v2,Yuzu,3.0.1,"Intro is ery rough, maybe set resolution to 0.5x just until after you beat Nemona the first time, after that can raise to 0.75x. Runs pretty close to 26-30fps after the opening scene, but occasionally crashes/freezes. Possibly memory leaking is the cause? There are minor graphical glitches throughout. Some slow downs in battles and near pokemon centers. SETTINGS: DEVICE: high performance mode fan: smart GRAPHICS: accuracy: normal resolution: 0.75x vsync mode: FIFO (on) Window Adapting Filter: AMD FidelityFX Super Resolution FSR Sharpnes: 24% Anti-Aliasing Method: FXAA Anisotropic filtering: Default Aspect: 16:9 Disk Shader Cache: enabled Force Maximum Clocks: enabled Use asynchronous shaders: enabled Use reactive flushing: disabled AUDIO: Output engine: cubeb DEBUG: API: ulkan CPU backend: Native Code Execution (NCE) CPU Accuracy: unsafe",Pocket 5
Pokemon Scarlet,Playable,Turnip 24.3.0 9v2,Yuzu,1.0,,Pocket 5
Pokemon Scarlet,Great,Turnip 25.2.0 R4,Yuzu,3.0.1,Is playable with 1x resolution. With 0.75x Resolution it works great.,Pocket 5
Pokemon Shining Pearl,Perfect,Turnip 24.3.0 9v2,Yuzu,1.3.0,"Handheld mode; Graphics settings: accuracy: normal; 1x resolution; vsync: off; window adapting filter: AMD FidelityFX SuperResolution; FSR 25%; anisotropic filtering: default; disk shader cache: enabled; force maximum clocks: enabled; use asynchronous shaders: enabled; use reactive flushing: disabled; Audio output engine: cubeb; debug: api: ulkan; CPU backend: dynarmic; cpu accuracy: accurate; cpu debugging: disabled I believe crashes and freezes are caused by having apps running in the background. I had some crashing and freezing at first, but once I started paying attention and making triple sure nothing else was open at all, the game has been running flawlessly, 30fps.",Pocket 5
Pokemon Shining Pearl,Great,Turnip 24.3.0 9v2,Yuzu,1.3.0,stable 30 fps,Pocket 5
Pokemon Shining Pearl,Perfect,Qualcomm 0.746.0,Yuzu,1.0,,Pocket 5
Pokemon Snap,Great,Turnip 24.3.0 9v2,Citron,2.0.1,"1x resolution, AMD FidelityFX filtering, FXAA AA Method, Force Maximum Clock, Use Asynch shaders, 50-60 FPS Stable",Pocket 5
Pokemon Sword,Perfect,Turnip 24.3.0 9v2,Sudachi,1.0,"Haven’t done any post-game stuff, but you can play from A-Z. If you try to use Y-Comm it will crash",Pocket 5
Pokemon Sword,Perfect,Turnip 24.3.0 9v2,Sudachi,Latest,"Crash when naming char – import a save with char created, available with help from google",Pocket 5
Pokemon Violet,Great,Turnip 24.3.0 9v2,Eden,0.0.2 Pre Alpha,Runs stready at 0.75 res,Pocket 5
Pokemon Violet,Great,Turnip 24.3.0 9v2,Sudachi,v1.0.15,"1x is playable 0.75x runs great (<30 fps on cutscenes, <25 fps on fights) Use High Performance mode(smart fan) Force Clock turned on graphics glitchs on some trees and some weird texture on pokemons, it gets the job done",Pocket 5
Pokemon Violet,Playable,Turnip 25.0.0 R8,Sudachi,3.0.1,"Low FPS (around 15.0fps) makes game slow, experienced one crash redeeming DLC costumes (but they did get into inventory)",Pocket 5
Pokemon: Let’s Go Eevee!,Perfect,Turnip 24.3.0 9v2,Citron,1.0.2,"Stable 30fps, force max clock enabled",Pocket 5
